product_id,product_name,category,sku,unit_price,shelf_life_days,reorder_level,max_stock
PROD00066,Fruits & Vegetables - Product 1,Fruits & Vegetables,SKU000066,373.15,38,30,64
PROD00067,Fruits & Vegetables - Product 2,Fruits & Vegetables,SKU000067,44.07,251,42,185
PROD00068,Fruits & Vegetables - Product 3,Fruits & Vegetables,SKU000068,95.57,267,15,97
PROD00069,Fruits & Vegetables - Product 4,Fruits & Vegetables,SKU000069,52.89,41,25,153
PROD00070,Fruits & Vegetables - Product 5,Fruits & Vegetables,SKU000070,77.55,298,25,198
PROD00071,Fruits & Vegetables - Product 6,Fruits & Vegetables,SKU000071,305.37,324,15,157
PROD00072,Fruits & Vegetables - Product 7,Fruits & Vegetables,SKU000072,335.54,296,43,130
PROD00073,Fruits & Vegetables - Product 8,Fruits & Vegetables,SKU000073,468.66,111,30,111
PROD00074,Fruits & Vegetables - Product 9,Fruits & Vegetables,SKU000074,147.49,74,29,167
PROD00075,Fruits & Vegetables - Product 10,Fruits & Vegetables,SKU000075,171.77,44,10,167
PROD00076,Fruits & Vegetables - Product 11,Fruits & Vegetables,SKU000076,318.16,295,16,68
PROD00077,Fruits & Vegetables - Product 12,Fruits & Vegetables,SKU000077,278.06,266,26,83
PROD00078,Fruits & Vegetables - Product 13,Fruits & Vegetables,SKU000078,467.96,42,25,144
PROD00079,Fruits & Vegetables - Product 14,Fruits & Vegetables,SKU000079,156.79,231,44,127
PROD00080,Fruits & Vegetables - Product 15,Fruits & Vegetables,SKU000080,313.61,341,43,52
PROD00081,Fruits & Vegetables - Product 16,Fruits & Vegetables,SKU000081,340.57,290,29,76
PROD00082,Fruits & Vegetables - Product 17,Fruits & Vegetables,SKU000082,470.69,75,26,79
PROD00083,Fruits & Vegetables - Product 18,Fruits & Vegetables,SKU000083,447.06,290,19,119
PROD00084,Fruits & Vegetables - Product 19,Fruits & Vegetables,SKU000084,155.24,114,31,102
PROD00085,Fruits & Vegetables - Product 20,Fruits & Vegetables,SKU000085,350.0,142,42,175
PROD00086,Fruits & Vegetables - Product 21,Fruits & Vegetables,SKU000086,140.54,33,15,158
PROD00087,Fruits & Vegetables - Product 22,Fruits & Vegetables,SKU000087,418.09,29,10,135
PROD00088,Fruits & Vegetables - Product 23,Fruits & Vegetables,SKU000088,390.14,333,26,91
PROD00089,Fruits & Vegetables - Product 24,Fruits & Vegetables,SKU000089,375.79,289,37,193
PROD00090,Fruits & Vegetables - Product 25,Fruits & Vegetables,SKU000090,24.64,45,19,189
PROD00091,Bakery - Product 1,Bakery,SKU000091,37.29,196,47,191
PROD00092,Bakery - Product 2,Bakery,SKU000092,91.09,72,12,128
PROD00093,Bakery - Product 3,Bakery,SKU000093,195.03,27,32,103
PROD00094,Bakery - Product 4,Bakery,SKU000094,347.39,348,16,140
PROD00095,Bakery - Product 5,Bakery,SKU000095,394.46,215,49,89
PROD00096,Bakery - Product 6,Bakery,SKU000096,464.37,128,20,95
PROD00097,Bakery - Product 7,Bakery,SKU000097,443.08,19,21,135
PROD00098,Bakery - Product 8,Bakery,SKU000098,395.55,217,25,118
PROD00099,Bakery - Product 9,Bakery,SKU000099,96.41,62,34,59
PROD00100,Bakery - Product 10,Bakery,SKU000100,432.12,120,22,167
PROD00101,Bakery - Product 11,Bakery,SKU000101,187.84,123,24,56
PROD00102,Bakery - Product 12,Bakery,SKU000102,336.82,211,31,121
PROD00103,Personal Care - Product 1,Personal Care,SKU000103,434.89,149,32,180
PROD00104,Personal Care - Product 2,Personal Care,SKU000104,211.85,281,31,57
PROD00105,Personal Care - Product 3,Personal Care,SKU000105,75.36,140,21,198
PROD00106,Personal Care - Product 4,Personal Care,SKU000106,482.02,142,12,77
PROD00107,Personal Care - Product 5,Personal Care,SKU000107,306.35,183,30,161
PROD00108,Personal Care - Product 6,Personal Care,SKU000108,310.98,268,17,148
PROD00109,Personal Care - Product 7,Personal Care,SKU000109,451.76,104,26,61
PROD00110,Personal Care - Product 8,Personal Care,SKU000110,360.22,7,43,187
PROD00111,Personal Care - Product 9,Personal Care,SKU000111,349.69,350,22,143
PROD00112,Personal Care - Product 10,Personal Care,SKU000112,227.02,347,31,130
PROD00113,Personal Care - Product 11,Personal Care,SKU000113,338.43,70,29,179
PROD00114,Personal Care - Product 12,Personal Care,SKU000114,168.46,216,30,153
PROD00115,Personal Care - Product 13,Personal Care,SKU000115,354.66,290,18,99
PROD00116,Personal Care - Product 14,Personal Care,SKU000116,221.81,201,21,195
PROD00117,Personal Care - Product 15,Personal Care,SKU000117,164.46,287,10,127
PROD00118,Personal Care - Product 16,Personal Care,SKU000118,157.72,227,47,132
PROD00119,Personal Care - Product 17,Personal Care,SKU000119,243.19,233,23,180
PROD00120,Personal Care - Product 18,Personal Care,SKU000120,247.13,93,15,122
PROD00121,Household - Product 1,Household,SKU000121,267.42,331,49,135
PROD00122,Household - Product 2,Household,SKU000122,64.83,127,29,107
PROD00123,Household - Product 3,Household,SKU000123,407.15,82,11,61
PROD00124,Household - Product 4,Household,SKU000124,137.52,250,49,68
PROD00125,Household - Product 5,Household,SKU000125,238.6,329,46,99
PROD00126,Household - Product 6,Household,SKU000126,364.81,203,41,152
PROD00127,Household - Product 7,Household,SKU000127,137.11,342,10,77
PROD00128,Household - Product 8,Household,SKU000128,393.64,119,21,182
PROD00129,Household - Product 9,Household,SKU000129,242.98,292,25,81
PROD00130,Household - Product 10,Household,SKU000130,239.1,244,43,193
PROD00131,Household - Product 11,Household,SKU000131,305.82,233,49,179
PROD00132,Household - Product 12,Household,SKU000132,224.84,287,38,90
PROD00133,Household - Product 13,Household,SKU000133,376.95,250,38,116
PROD00134,Household - Product 14,Household,SKU000134,380.85,333,27,183
PROD00135,Household - Product 15,Household,SKU000135,252.61,129,27,162
PROD00136,Household - Product 16,Household,SKU000136,57.19,153,25,119
PROD00137,Household - Product 17,Household,SKU000137,181.21,283,15,85
PROD00138,Household - Product 18,Household,SKU000138,92.4,203,19,104
PROD00139,Household - Product 19,Household,SKU000139,50.83,215,31,188
PROD00140,Household - Product 20,Household,SKU000140,243.64,38,23,157
PROD00141,Frozen Foods - Product 1,Frozen Foods,SKU000141,206.95,306,11,197
PROD00142,Frozen Foods - Product 2,Frozen Foods,SKU000142,202.58,10,32,126
PROD00143,Frozen Foods - Product 3,Frozen Foods,SKU000143,381.67,221,44,189
PROD00144,Frozen Foods - Product 4,Frozen Foods,SKU000144,403.94,119,41,106
PROD00145,Frozen Foods - Product 5,Frozen Foods,SKU000145,151.01,255,11,149
PROD00146,Frozen Foods - Product 6,Frozen Foods,SKU000146,181.34,354,35,92
PROD00147,Frozen Foods - Product 7,Frozen Foods,SKU000147,423.44,72,49,186
PROD00148,Frozen Foods - Product 8,Frozen Foods,SKU000148,32.94,208,47,194
PROD00149,Frozen Foods - Product 9,Frozen Foods,SKU000149,338.24,49,37,84
PROD00150,Frozen Foods - Product 10,Frozen Foods,SKU000150,436.09,100,13,116
